NAME,ID,LON,LAT,StationType,ZoneType
PIAZZA GARIBALDI - BUSALLA,G060002,8.946389,44.572778,traffic,urban
SARISSOLA - BUSALLA,G060007,8.951111,44.573889,industrial,suburban
CAMPORA - CAMPOMORONE,G090001,8.873889,44.518611,industrial,suburban
CHIAVARI,G150003,9.323611,44.317778,traffic,urban
COGOLETO,G170004,8.643056,44.391389,background,suburban
QUARTO - GENOVA,G250017,8.992222,44.396389,background,urban
CORSO FIRENZE - GENOVA,G250024,8.927500,44.418056,background,urban
PARCO ACQUASOLA - GENOVA,G250026,8.941111,44.407500,background,urban
MULTEDO - PEGLI - GENOVA,G250027,8.826111,44.425556,traffic,urban
SAN MARTINO - GENOVA,G250107,8.968056,44.405000,traffic,urban
BOLZANETO - GENOVA,G250112,8.901389,44.462778,traffic,urban
CORSO BUENOS AIRES - GENOVA,G250113,8.950000,44.403056,traffic,urban
VIA BUOZZI - GENOVA,G250114,8.911944,44.413889,traffic,urban
VIA UNGARETTI - PEGLI - GENOVA,G250119,8.797676,44.428404,background,suburban
PROPATA,G450001,9.185000,44.564722,background,rural
RAPALLO,G460001,9.222500,44.351667,traffic,urban
BOLANO,L040002,9.897778,44.183056,background,rural
SAN VENERIO - LA SPEZIA,L150004,9.865833,44.129444,industrial,suburban
AMENDOLA - LA SPEZIA,L150014,9.818611,44.101667,traffic,urban
SAN CIPRIANO - LA SPEZIA,L150015,9.832778,44.112778,traffic,urban
MAGGIOLINA - LA SPEZIA,L150016,9.842778,44.117778,background,urban
FOSSAMASTRA - LA SPEZIA,L150017,9.857778,44.106667,industrial,urban
CHIAPPA - LA SPEZIA,L150019,9.798611,44.123611,background,suburban
LE GRAZIE - POTOVENERE,L220001,9.838889,44.064722,industrial,suburban
LARGO PERTINI - SARZANA,L270002,9.955032,44.110935,traffic,urban
REGIONE CAVALLO - ALBENGA,S020001,8.206944,44.051944,traffic,urban
LOCALITA' FARINA - CAIRO M.,S150002,8.280685,44.382410,industrial,suburban
RIO PARASACCO - CENGIO,S230009,8.206044,44.397033,background,rural
QUILIANO,S520003,8.411389,44.293889,industrial,suburban
CORSO RICCI - SAVONA,S560007,8.473056,44.312778,traffic,urban
VARALDO - SAVONA,S560018,8.485556,44.315278,background,urban
VADO LIGURE,S640009,8.438889,44.272500,industrial,urban
