ID,NAME,StationType,ZoneType,LAT,LON,ALT
502505,BL - Parco Citta' di Bologna,background,urban,46.14195928,12.21765248,401
502509,BL - La Cerva,traffic,urban,46.1437614,12.21278529,403
502506,Area Feltrina,background,suburban,46.03125713,11.90665337,263
502507,Pieve d'Alpago,background,rural,46.16251047,12.36128358,615
502808,PD - Mandria,background,urban,45.3709775,11.84084118,13
502809,PD - Arcella,traffic,urban,45.43286717,11.88972806,11
502813,PD - Granze,industrial,urban,45.37756766,11.93996288,7
502814,S.Giustina in Colle,background,rural,45.60154776,11.90358737,25
502811,Este,industrial,suburban,45.22692911,11.66618381,12
502812,Parco Colli Euganei,background,rural,45.28927364,11.64254217,18
502903,Adria,background,urban,45.04582512,12.06086934,0
502901,RO - Largo Martiri,traffic,urban,45.07386248,11.78251027,7
502902,RO - Borsea,background,urban,45.03875842,11.79015164,3
502969,Badia Polesine,background,rural,45.10407177,11.55338053,7
502604,Conegliano,background,urban,45.88973369,12.30712448,72
502609,Mansue',background,rural,45.83687686,12.51039616,14
502608,TV - Via Lancieri,background,urban,45.67172072,12.23780698,15
502612,TV - S. Agnese,traffic,urban,45.65879365,12.21621538,15
502715,S.Dona' di Piave,background,urban,45.6290925,12.59068235,3
502723,VE - Malcontenta,industrial,suburban,45.43826013,12.20553042,2
502701,VE - Parco Bissuola,background,urban,45.49961805,12.26124917,1
502717,VE - Sacca Fisola,background,urban,45.42842368,12.3129303,0
502720,VE - Via Tagliamento,traffic,urban,45.48966756,12.21763647,1
502415,Asiago Cima Ekar,background,rural,45.84875736,11.56848899,1366
502401,Bassano del Grappa,background,urban,45.75927327,11.73585212,114
502416,Chiampo,industrial,urban,45.53645249,11.29378865,200
502402,Montebello Vicentino,industrial,urban,45.46510195,11.38640789,61
502404,Schio,background,urban,45.7135591,11.3676575,190
502409,VI - Quartiere Italia,background,urban,45.55956112,11.53865377,36
502414,VI - S. Felice,traffic,urban,45.54499298,11.5331811,35
502314,Boscochiesanuova,background,rural,45.58918236,11.03685906,824
502313,Legnago,background,urban,45.18262647,11.31051146,25
502310,S. Bonifacio,traffic,urban,45.39883352,11.28529851,30
502304,VR- Borgo Milano,traffic,urban,45.44521934,10.95394993,62
502315,VR-Giarol Grande,background,suburban,45.43300874,11.0300943,49
